order,internal_code,block,text,question_type,weight,is_controversy,severity
1,E1_1,E,Есть ли у компании формализованная политика энергоэффективности?,scale,1.0,FALSE,
2,E1_2,E,Какая доля потребляемой энергии приходится на возобновляемые источники?,percentage,1.0,FALSE,
3,E1_3,E,Ведётся ли систематический учёт водопотребления?,scale,1.0,FALSE,
4,E1_4,E,Есть ли программа снижения материалоёмкости производства/услуг?,scale,1.0,FALSE,
5,E2_1,E,Ведётся ли учёт выбросов парниковых газов (Scope 1 и 2)?,scale,1.0,FALSE,
6,E2_2,E,Есть ли у компании публично заявленная цель по снижению выбросов?,scale,1.0,FALSE,
7,E2_3,E,"Есть ли программа управления отходами (переработка, снижение отходов)?",scale,1.0,FALSE,
8,E2_4,E,Проводится ли оценка воздействия деятельности на биоразнообразие?,scale,1.0,FALSE,
9,E3_1,E,Какая доля выручки приходится на «зелёные» продукты/услуги?,percentage,1.0,FALSE,
10,E3_2,E,"Инвестирует ли компания в R&D, направленный на снижение экологического воздействия?",scale,1.0,FALSE,
11,S1_1,S,Есть ли формализованная система охраны труда и техники безопасности?,scale,1.0,FALSE,
12,S1_2,S,Какой процент сотрудников проходит регулярное профессиональное обучение?,percentage,1.0,FALSE,
13,S1_3,S,Публикует ли компания данные по текучести кадров?,scale,1.0,FALSE,
14,S1_4,S,Есть ли политика по гендерному/диверсити балансу в найме?,scale,1.0,FALSE,
15,S2_1,S,Есть ли формализованная политика по правам человека?,scale,1.0,FALSE,
16,S2_2,S,Проводится ли due diligence поставщиков на предмет трудовых/экологических практик?,scale,1.0,FALSE,
17,S2_3,S,Есть ли механизм подачи жалоб для сотрудников/поставщиков (whistleblowing)?,scale,1.0,FALSE,
18,S3_1,S,"Инвестирует ли компания в локальные сообщества (программы, гранты, партнёрства)?",scale,1.0,FALSE,
19,S3_2,S,Оценивается ли социальное воздействие деятельности компании на местные сообщества?,scale,1.0,FALSE,
20,S4_1,S,Есть ли формализованная система контроля качества и безопасности продукции?,scale,1.0,FALSE,
21,S4_2,S,Есть ли политика защиты персональных данных клиентов?,scale,1.0,FALSE,
22,S4_3,S,Проводится ли проверка маркетинговых материалов на предмет вводящих в заблуждение заявлений?,scale,1.0,FALSE,
23,G1_1,G,Какая доля независимых директоров в составе совета?,percentage,1.0,FALSE,
24,G1_2,G,Есть ли комитет по устойчивому развитию/ESG на уровне совета директоров?,scale,1.0,FALSE,
25,G1_3,G,Какая доля женщин в составе совета директоров?,percentage,1.0,FALSE,
26,G2_1,G,Обеспечено ли равное право голоса для всех акционеров (один голос — одна акция)?,scale,1.0,FALSE,
27,G2_2,G,"Есть ли прозрачная политика вознаграждения руководства, привязанная к ESG-показателям?",scale,1.0,FALSE,
28,G3_1,G,Есть ли формализованная антикоррупционная политика?,scale,1.0,FALSE,
29,G3_2,G,Публикует ли компания ежегодный ESG/устойчивый отчёт?,scale,1.0,FALSE,
30,G3_3,G,Есть ли независимая верификация ESG-отчётности третьей стороной?,scale,1.0,FALSE,
31,C1,G,Компания вовлечена в производство спорных видов вооружений,yes_no,,TRUE,4
32,C2,E,Более 30% выручки — тепловой уголь / нефтеносные пески,yes_no,,TRUE,3
33,C3,S,Доказанные системные нарушения прав человека в цепочке поставок,yes_no,,TRUE,3
34,C4,E,Крупные штрафы регулятора за экологические нарушения за последние 3 года,yes_no,,TRUE,2
35,C5,G,Судимость/санкции руководства за коррупцию за последние 5 лет,yes_no,,TRUE,3
36,C6,S,Крупная утечка персональных данных клиентов за последний год,yes_no,,TRUE,2
37,C7,S,"Массовые трудовые споры / забастовки, связанные с условиями труда",yes_no,,TRUE,1
38,C8,E,Отсутствие какой-либо экологической политики при высокой материальности E для отрасли,yes_no,,TRUE,1
